date,time_series_name,historical_value
01/01/2022,time_series_0,-0.022497566
02/01/2022,time_series_0,-0.068936543
03/01/2022,time_series_0,-0.090932667
04/01/2022,time_series_0,-0.04788282
05/01/2022,time_series_0,0.059853525
06/01/2022,time_series_0,0.181865335
07/01/2022,time_series_0,0.241277899
08/01/2022,time_series_0,0.179980531
09/01/2022,time_series_0,7.72E-17
10/01/2022,time_series_0,-0.224975663
11/01/2022,time_series_0,-0.379150985
12/01/2022,time_series_0,-0.36373067
13/01/2022,time_series_0,-0.155619165
14/01/2022,time_series_0,0.16758987
15/01/2022,time_series_0,0.454663337
16/01/2022,time_series_0,0.551492342
17/01/2022,time_series_0,0.382458628
18/01/2022,time_series_0,3.09E-16
19/01/2022,time_series_0,-0.42745376
20/01/2022,time_series_0,-0.689365427
21/01/2022,time_series_0,-0.636528672
22/01/2022,time_series_0,-0.26335551
23/01/2022,time_series_0,0.275326215
24/01/2022,time_series_0,0.727461339
25/01/2022,time_series_0,0.861706784
26/01/2022,time_series_0,0.584936725
27/01/2022,time_series_0,6.94E-16
28/01/2022,time_series_0,-0.629931857
29/01/2022,time_series_0,-0.999579869
30/01/2022,time_series_0,-0.909326674
31/01/2022,time_series_0,-0.371091856
01/02/2022,time_series_0,0.383062561
02/02/2022,time_series_0,1.000259341
03/02/2022,time_series_0,1.171921226
04/02/2022,time_series_0,0.787414822
05/02/2022,time_series_0,1.23E-15
06/02/2022,time_series_0,-0.832409955
07/02/2022,time_series_0,-1.309794312
08/02/2022,time_series_0,-1.182124676
09/02/2022,time_series_0,-0.478828201
10/02/2022,time_series_0,0.490798906
11/02/2022,time_series_0,1.273057344
12/02/2022,time_series_0,1.482135668
13/02/2022,time_series_0,0.989892919
14/02/2022,time_series_0,1.93E-15
15/02/2022,time_series_0,-1.034888052
16/02/2022,time_series_0,-1.620008754
17/02/2022,time_series_0,-1.454922678
18/02/2022,time_series_0,-0.586564546
19/02/2022,time_series_0,0.598535251
20/02/2022,time_series_0,1.545855346
21/02/2022,time_series_0,1.79235011
22/02/2022,time_series_0,1.192371016
23/02/2022,time_series_0,2.78E-15
24/02/2022,time_series_0,-1.237366149
25/02/2022,time_series_0,-1.930223196
26/02/2022,time_series_0,-1.727720681
27/02/2022,time_series_0,-0.694300891
28/02/2022,time_series_0,0.706271596
01/03/2022,time_series_0,1.818653348
02/03/2022,time_series_0,2.102564553
03/03/2022,time_series_0,1.394849113
04/03/2022,time_series_0,3.78E-15
05/03/2022,time_series_0,-1.439844246
06/03/2022,time_series_0,-2.240437638
07/03/2022,time_series_0,-2.000518683
08/03/2022,time_series_0,-0.802037236
09/03/2022,time_series_0,0.814007941
10/03/2022,time_series_0,2.09145135
11/03/2022,time_series_0,2.412778995
12/03/2022,time_series_0,1.59732721
13/03/2022,time_series_0,4.94E-15
14/03/2022,time_series_0,-1.642322343
15/03/2022,time_series_0,-2.55065208
16/03/2022,time_series_0,-2.273316685
17/03/2022,time_series_0,-0.909773581
18/03/2022,time_series_0,0.921744286
19/03/2022,time_series_0,2.364249352
20/03/2022,time_series_0,2.722993437
21/03/2022,time_series_0,1.799805307
22/03/2022,time_series_0,6.25E-15
23/03/2022,time_series_0,-1.84480044
24/03/2022,time_series_0,-2.860866523
25/03/2022,time_series_0,-2.546114687
26/03/2022,time_series_0,-1.017509926
27/03/2022,time_series_0,1.029480631
28/03/2022,time_series_0,2.637047355
29/03/2022,time_series_0,3.033207879
30/03/2022,time_series_0,2.002283404
31/03/2022,time_series_0,7.72E-15
01/04/2022,time_series_0,-2.047278537
02/04/2022,time_series_0,-3.171080965
03/04/2022,time_series_0,-2.818912689
04/04/2022,time_series_0,-1.125246272
05/04/2022,time_series_0,1.137216977
06/04/2022,time_series_0,2.909845357
07/04/2022,time_series_0,3.343422321
08/04/2022,time_series_0,2.204761501
09/04/2022,time_series_0,-1.53E-14
10/04/2022,time_series_0,-2.249756634
11/04/2022,time_series_0,-3.481295407
12/04/2022,time_series_0,-3.091710692
13/04/2022,time_series_0,-1.232982617
14/04/2022,time_series_0,1.244953322
15/04/2022,time_series_0,3.182643359
16/04/2022,time_series_0,3.653636764
17/04/2022,time_series_0,2.407239598
18/04/2022,time_series_0,1.11E-14
19/04/2022,time_series_0,-2.452234731
20/04/2022,time_series_0,-3.791509849
21/04/2022,time_series_0,-3.364508694
22/04/2022,time_series_0,-1.340718962
23/04/2022,time_series_0,1.352689667
24/04/2022,time_series_0,3.455441361
25/04/2022,time_series_0,3.963851206
26/04/2022,time_series_0,2.609717695
27/04/2022,time_series_0,-1.61E-14
28/04/2022,time_series_0,-2.654712828
29/04/2022,time_series_0,-4.101724291
30/04/2022,time_series_0,-3.637306696
01/05/2022,time_series_0,-1.448455307
02/05/2022,time_series_0,1.460426012
03/05/2022,time_series_0,3.728239363
04/05/2022,time_series_0,4.274065648
05/05/2022,time_series_0,2.812195792
06/05/2022,time_series_0,1.51E-14
07/05/2022,time_series_0,-2.857190925
08/05/2022,time_series_0,-4.411938733
09/05/2022,time_series_0,-3.910104698
10/05/2022,time_series_0,-1.556191652
11/05/2022,time_series_0,1.568162357
12/05/2022,time_series_0,4.001037365
13/05/2022,time_series_0,4.58428009
14/05/2022,time_series_0,3.014673889
15/05/2022,time_series_0,5.09E-14
16/05/2022,time_series_0,-3.059669022
17/05/2022,time_series_0,-4.722153176
18/05/2022,time_series_0,-4.1829027
19/05/2022,time_series_0,-1.663927997
20/05/2022,time_series_0,1.675898702
21/05/2022,time_series_0,4.273835368
22/05/2022,time_series_0,4.894494532
23/05/2022,time_series_0,3.217151986
24/05/2022,time_series_0,1.98E-14
25/05/2022,time_series_0,-3.262147119
26/05/2022,time_series_0,-5.032367618
27/05/2022,time_series_0,-4.455700702
28/05/2022,time_series_0,-1.771664342
29/05/2022,time_series_0,1.783635047
30/05/2022,time_series_0,4.54663337
31/05/2022,time_series_0,5.204708975
01/06/2022,time_series_0,3.419630084
02/06/2022,time_series_0,-1.58E-14
03/06/2022,time_series_0,-3.464625216
04/06/2022,time_series_0,-5.34258206
05/06/2022,time_series_0,-4.728498705
06/06/2022,time_series_0,-1.879400688
07/06/2022,time_series_0,1.891371393
08/06/2022,time_series_0,4.819431372
09/06/2022,time_series_0,5.514923417
10/06/2022,time_series_0,3.622108181
11/06/2022,time_series_0,2.50E-14
12/06/2022,time_series_0,-3.667103313
13/06/2022,time_series_0,-5.652796502
14/06/2022,time_series_0,-5.001296707
15/06/2022,time_series_0,-1.987137033
16/06/2022,time_series_0,1.999107738
17/06/2022,time_series_0,5.092229374
18/06/2022,time_series_0,5.825137859
19/06/2022,time_series_0,3.824586278
20/06/2022,time_series_0,7.04E-14
21/06/2022,time_series_0,-3.86958141
22/06/2022,time_series_0,-5.963010944
23/06/2022,time_series_0,-5.274094709
24/06/2022,time_series_0,-2.094873378
25/06/2022,time_series_0,2.106844083
26/06/2022,time_series_0,5.365027376
27/06/2022,time_series_0,6.135352301
28/06/2022,time_series_0,4.027064375
29/06/2022,time_series_0,3.09E-14
30/06/2022,time_series_0,-4.072059507
01/07/2022,time_series_0,-6.273225387
02/07/2022,time_series_0,-5.546892711
03/07/2022,time_series_0,-2.202609723
04/07/2022,time_series_0,2.214580428
05/07/2022,time_series_0,5.637825379
06/07/2022,time_series_0,6.445566743
07/07/2022,time_series_0,4.229542472
08/07/2022,time_series_0,-1.30E-14
09/07/2022,time_series_0,-4.274537604
10/07/2022,time_series_0,-6.583439829
11/07/2022,time_series_0,-5.819690713
12/07/2022,time_series_0,-2.310346068
13/07/2022,time_series_0,2.322316773
14/07/2022,time_series_0,5.910623381
15/07/2022,time_series_0,6.755781186
16/07/2022,time_series_0,4.432020569
17/07/2022,time_series_0,-6.11E-14
18/07/2022,time_series_0,-4.477015701
19/07/2022,time_series_0,-6.893654271
20/07/2022,time_series_0,-6.092488716
21/07/2022,time_series_0,-2.418082413
22/07/2022,time_series_0,2.430053118
23/07/2022,time_series_0,6.183421383
24/07/2022,time_series_0,7.065995628
25/07/2022,time_series_0,4.634498666
26/07/2022,time_series_0,9.23E-14
27/07/2022,time_series_0,-4.679493799
28/07/2022,time_series_0,-7.203868713
29/07/2022,time_series_0,-6.365286718
30/07/2022,time_series_0,-2.525818758
31/07/2022,time_series_0,2.537789463
01/08/2022,time_series_0,6.456219385
02/08/2022,time_series_0,7.37621007
03/08/2022,time_series_0,4.836976763
04/08/2022,time_series_0,4.44E-14
05/08/2022,time_series_0,-4.881971896
06/08/2022,time_series_0,-7.514083155
07/08/2022,time_series_0,-6.63808472
08/08/2022,time_series_0,-2.633555104
09/08/2022,time_series_0,2.645525809
10/08/2022,time_series_0,6.729017387
11/08/2022,time_series_0,7.686424512
12/08/2022,time_series_0,5.03945486
13/08/2022,time_series_0,-7.73E-15
14/08/2022,time_series_0,-5.084449993
15/08/2022,time_series_0,-7.824297598
16/08/2022,time_series_0,-6.910882722
17/08/2022,time_series_0,-2.741291449
18/08/2022,time_series_0,2.753262154
19/08/2022,time_series_0,7.00181539
20/08/2022,time_series_0,7.996638954
21/08/2022,time_series_0,5.241932957
22/08/2022,time_series_0,-6.42E-14
23/08/2022,time_series_0,-5.28692809
24/08/2022,time_series_0,-8.13451204
25/08/2022,time_series_0,-7.183680724
26/08/2022,time_series_0,-2.849027794
27/08/2022,time_series_0,2.860998499
28/08/2022,time_series_0,7.274613392
29/08/2022,time_series_0,8.306853397
30/08/2022,time_series_0,5.444411054
31/08/2022,time_series_0,1.17E-13
01/09/2022,time_series_0,-5.489406187
