time_series_name,model_run_date,prediction_date,predicted_value
time_series_0,02/01/2022,02/01/2022,-0.056427155
time_series_0,02/01/2022,03/01/2022,-0.104275161
time_series_0,02/01/2022,04/01/2022,0.103445918
time_series_0,02/01/2022,05/01/2022,-0.064670536
time_series_0,02/01/2022,06/01/2022,0.240255742
time_series_0,02/01/2022,07/01/2022,-0.250587347
time_series_0,02/01/2022,08/01/2022,0.026229937
time_series_0,02/01/2022,09/01/2022,-0.091635789
time_series_0,02/01/2022,10/01/2022,-0.328885411
time_series_0,02/01/2022,11/01/2022,-0.698625357
time_series_0,02/01/2022,12/01/2022,-1.267436859
time_series_0,02/01/2022,13/01/2022,0.045365067
time_series_0,02/01/2022,14/01/2022,0.186312497
time_series_0,02/01/2022,15/01/2022,0.492338435
time_series_0,09/01/2022,09/01/2022,0.108063222
time_series_0,09/01/2022,10/01/2022,-0.51352164
time_series_0,09/01/2022,11/01/2022,-0.839799213
time_series_0,09/01/2022,12/01/2022,-0.026897999
time_series_0,09/01/2022,13/01/2022,-0.451920754
time_series_0,09/01/2022,14/01/2022,0.21739432
time_series_0,09/01/2022,15/01/2022,0.177303552
time_series_0,09/01/2022,16/01/2022,0.053924911
time_series_0,09/01/2022,17/01/2022,-0.16355392
time_series_0,09/01/2022,18/01/2022,-0.417079988
time_series_0,09/01/2022,19/01/2022,0.437511159
time_series_0,09/01/2022,20/01/2022,0.627793563
time_series_0,09/01/2022,21/01/2022,-0.138676941
time_series_0,09/01/2022,22/01/2022,0.819896992
time_series_0,16/01/2022,16/01/2022,0.587863593
time_series_0,16/01/2022,17/01/2022,0.009603448
time_series_0,16/01/2022,18/01/2022,0.618431303
time_series_0,16/01/2022,19/01/2022,-0.130861539
time_series_0,16/01/2022,20/01/2022,-0.783040284
time_series_0,16/01/2022,21/01/2022,-0.886492028
time_series_0,16/01/2022,22/01/2022,-0.087214043
time_series_0,16/01/2022,23/01/2022,-0.593948092
time_series_0,16/01/2022,24/01/2022,1.0031258
time_series_0,16/01/2022,25/01/2022,1.150824511
time_series_0,16/01/2022,26/01/2022,1.027468295
time_series_0,16/01/2022,27/01/2022,-0.853999314
time_series_0,16/01/2022,28/01/2022,-1.961738682
time_series_0,16/01/2022,29/01/2022,-0.306084115
time_series_0,23/01/2022,23/01/2022,0.405493236
time_series_0,23/01/2022,24/01/2022,0.255349468
time_series_0,23/01/2022,25/01/2022,0.745623444
time_series_0,23/01/2022,26/01/2022,0.322677973
time_series_0,23/01/2022,27/01/2022,-0.308192887
time_series_0,23/01/2022,28/01/2022,-0.493604079
time_series_0,23/01/2022,29/01/2022,-0.277351218
time_series_0,23/01/2022,30/01/2022,0.955841741
time_series_0,23/01/2022,31/01/2022,0.721291804
time_series_0,23/01/2022,01/02/2022,0.937534185
time_series_0,23/01/2022,02/02/2022,1.037994705
time_series_0,23/01/2022,03/02/2022,-0.064957256
time_series_0,23/01/2022,04/02/2022,0.925622445
time_series_0,23/01/2022,05/02/2022,-0.282077292
time_series_0,30/01/2022,30/01/2022,-0.344095442
time_series_0,30/01/2022,31/01/2022,0.046519963
time_series_0,30/01/2022,01/02/2022,0.342366621
time_series_0,30/01/2022,02/02/2022,1.425443448
time_series_0,30/01/2022,03/02/2022,0.420718219
time_series_0,30/01/2022,04/02/2022,-0.506080665
time_series_0,30/01/2022,05/02/2022,0.153655351
time_series_0,30/01/2022,06/02/2022,0.077737201
time_series_0,30/01/2022,07/02/2022,-3.287916446
time_series_0,30/01/2022,08/02/2022,0.3729431
time_series_0,30/01/2022,09/02/2022,-0.643966099
time_series_0,30/01/2022,10/02/2022,1.83284352
time_series_0,30/01/2022,11/02/2022,0.906726826
time_series_0,30/01/2022,12/02/2022,4.547294421
time_series_0,06/02/2022,06/02/2022,-0.82737266
time_series_0,06/02/2022,07/02/2022,-1.711227434
time_series_0,06/02/2022,08/02/2022,-0.904156102
time_series_0,06/02/2022,09/02/2022,-0.385298022
time_series_0,06/02/2022,10/02/2022,0.027413539
time_series_0,06/02/2022,11/02/2022,0.428892351
time_series_0,06/02/2022,12/02/2022,2.774669831
time_series_0,06/02/2022,13/02/2022,0.850786357
time_series_0,06/02/2022,14/02/2022,1.39854349
time_series_0,06/02/2022,15/02/2022,-0.765457713
time_series_0,06/02/2022,16/02/2022,-1.502243979
time_series_0,06/02/2022,17/02/2022,-1.581771336
time_series_0,06/02/2022,18/02/2022,0.553388329
time_series_0,06/02/2022,19/02/2022,1.897980918
time_series_0,13/02/2022,13/02/2022,0.973614418
time_series_0,13/02/2022,14/02/2022,0.360246621
time_series_0,13/02/2022,15/02/2022,0.025174093
time_series_0,13/02/2022,16/02/2022,-2.747975413
time_series_0,13/02/2022,17/02/2022,-1.150276278
time_series_0,13/02/2022,18/02/2022,-1.363463707
time_series_0,13/02/2022,19/02/2022,-0.517986966
time_series_0,13/02/2022,20/02/2022,-0.995217538
time_series_0,13/02/2022,21/02/2022,2.390543351
time_series_0,13/02/2022,22/02/2022,0.704086809
time_series_0,13/02/2022,23/02/2022,-0.129172926
time_series_0,13/02/2022,24/02/2022,-0.268322589
time_series_0,13/02/2022,25/02/2022,-0.832111212
time_series_0,13/02/2022,26/02/2022,-1.448935024
time_series_0,20/02/2022,20/02/2022,2.713764517
time_series_0,20/02/2022,21/02/2022,1.535271826
time_series_0,20/02/2022,22/02/2022,0.843179206
time_series_0,20/02/2022,23/02/2022,0.266867851
time_series_0,20/02/2022,24/02/2022,-2.587048391
time_series_0,20/02/2022,25/02/2022,-3.036558247
time_series_0,20/02/2022,26/02/2022,-1.84347284
time_series_0,20/02/2022,27/02/2022,0.710583683
time_series_0,20/02/2022,28/02/2022,0.208168014
time_series_0,20/02/2022,01/03/2022,0.733552455
time_series_0,20/02/2022,02/03/2022,0.778098429
time_series_0,20/02/2022,03/03/2022,2.757493267
time_series_0,20/02/2022,04/03/2022,0.368600329
time_series_0,20/02/2022,05/03/2022,-1.498487591
time_series_0,27/02/2022,27/02/2022,-1.478094833
time_series_0,27/02/2022,28/02/2022,-0.612406307
time_series_0,27/02/2022,01/03/2022,2.668611825
time_series_0,27/02/2022,02/03/2022,1.857350031
time_series_0,27/02/2022,03/03/2022,2.997510459
time_series_0,27/02/2022,04/03/2022,0.202020442
time_series_0,27/02/2022,05/03/2022,-1.772938768
time_series_0,27/02/2022,06/03/2022,-1.072556468
time_series_0,27/02/2022,07/03/2022,-3.381041155
time_series_0,27/02/2022,08/03/2022,-1.327181145
time_series_0,27/02/2022,09/03/2022,1.829656243
time_series_0,27/02/2022,10/03/2022,1.882519806
time_series_0,27/02/2022,11/03/2022,-0.762308408
time_series_0,27/02/2022,12/03/2022,-1.566789904
